iter	Logloss
0	0.6833148419
1	0.6746356096
2	0.6655516174
3	0.6562282493
4	0.6481405352
5	0.6407630356
6	0.6335433783
7	0.6265178131
8	0.619183903
9	0.6124937766
10	0.6061827792
11	0.5992623861
12	0.593624599
13	0.5874553091
14	0.5820500233
15	0.5766965765
16	0.5714180201
17	0.5659963332
18	0.5614659612
19	0.5569172823
20	0.5516671469
21	0.5472736801
22	0.5423136872
23	0.5376208945
24	0.5332356993
25	0.5290964366
26	0.5250385637
27	0.5214825627
28	0.5177883064
29	0.5143468652
30	0.510916409
31	0.507546875
32	0.504149283
33	0.5012129657
34	0.4983069491
35	0.4955143119
36	0.4919319844
37	0.4891197989
38	0.4868686755
39	0.4835438571
40	0.4810137472
41	0.4787428265
42	0.4766446345
43	0.4744484059
44	0.4721639231
45	0.4700871554
46	0.4676729628
47	0.4657359968
48	0.4640831737
49	0.4622754184
50	0.4597719065
51	0.458268967
52	0.4562625701
53	0.4544833871
54	0.4528917022
55	0.4513459453
56	0.449996425
57	0.4483133377
58	0.4471195168
59	0.4454552746
60	0.4437374158
61	0.4423444033
62	0.4405383159
63	0.4389042339
64	0.4375343878
65	0.4360415586
66	0.434813945
67	0.4337611174
68	0.4326453584
69	0.4315238726
70	0.4302451967
71	0.4290134548
72	0.4276149473
73	0.4265024208
74	0.4254308981
75	0.4242653463
76	0.4230325774
77	0.421819574
78	0.4209553174
79	0.4199503614
80	0.4191442839
81	0.4181076755
82	0.417260752
83	0.41582452
84	0.4147878849
85	0.4140917351
86	0.4134598385
87	0.4128117358
88	0.4117434305
89	0.4107023113
90	0.4095163431
91	0.4087232353
92	0.4081595377
93	0.407513668
94	0.4063301626
95	0.4054044342
96	0.4042290568
97	0.4036255127
98	0.4029041936
99	0.4019547371
100	0.4013143122
101	0.400722766
102	0.4002063525
103	0.3995021178
104	0.3987301916
105	0.3982125846
106	0.3977190618
107	0.3972339353
108	0.3962462116
109	0.3958266747
110	0.3950695618
111	0.3946883254
112	0.3937853072
113	0.3930469581
114	0.3920511132
115	0.3915024123
116	0.390888152
117	0.3898071745
118	0.3892020761
119	0.388353533
120	0.387597983
121	0.3871452068
122	0.3867101649
123	0.3859561864
124	0.3854345782
125	0.3847077523
126	0.3839448212
127	0.3830604923
128	0.382471634
129	0.3818415483
130	0.3815392996
131	0.3808737335
132	0.380336038
133	0.3799944942
134	0.3791064385
135	0.3784528992
136	0.3777619497
137	0.3770398173
138	0.3762433834
139	0.3758198934
140	0.3753980886
141	0.3748962569
142	0.3745009941
143	0.3738588974
144	0.373382586
145	0.3727541822
146	0.3721738896
147	0.3716128153
148	0.3711926859
149	0.3704898292
150	0.3701160965
151	0.3697738226
152	0.3691571372
153	0.3685884336
154	0.3681678778
155	0.3676932258
156	0.3669857332
157	0.3665905791
158	0.3659949275
159	0.3654151019
160	0.3647458495
161	0.3644559329
162	0.3638227716
163	0.3633404908
164	0.3630265359
165	0.3626483644
166	0.362315685
167	0.3614902725
168	0.361064412
169	0.3604393413
170	0.3595271269
171	0.3589757808
172	0.3584909132
173	0.3581762593
174	0.3577180393
175	0.3573736699
176	0.3568921183
177	0.3565483431
178	0.3562959672
179	0.3558990549
180	0.3551838768
181	0.3548516098
182	0.354398973
183	0.3540346826
184	0.3536009417
185	0.3531753497
186	0.3527065104
187	0.3522524109
188	0.3517571749
189	0.3514938101
190	0.3512454599
191	0.3509491972
192	0.3506175323
193	0.3503772402
194	0.3497358727
195	0.3494580616
196	0.349015116
197	0.3484910694
198	0.3480495859
199	0.3475985684
200	0.3471403348
201	0.3464013284
202	0.3461226829
203	0.3455354736
204	0.3450077482
205	0.344632712
206	0.3441712884
207	0.3435509321
208	0.3432773711
209	0.3429189583
210	0.3423014327
211	0.341916184
212	0.3412404313
213	0.3408724858
214	0.3405805357
215	0.3403513433
216	0.3401682601
217	0.3398752417
218	0.3395577431
219	0.3393327926
220	0.3389641379
221	0.338667031
222	0.3384259069
223	0.3381631865
224	0.3376014417
225	0.3372634315
226	0.3365406861
227	0.3363705199
228	0.3362190715
229	0.3356589231
230	0.3351739816
231	0.3347222804
232	0.3341777873
233	0.3337111407
234	0.3332806865
235	0.3328159874
236	0.3323951793
237	0.3318280075
238	0.3315615704
239	0.3310427504
240	0.3307026063
241	0.330380796
242	0.3299709878
243	0.3296025628
244	0.3289566627
245	0.3285069442
246	0.3280812553
247	0.3277213933
248	0.3274901397
249	0.3272560599
250	0.326967902
251	0.3263643431
252	0.3261286374
253	0.3256160799
254	0.3253365286
255	0.324941178
256	0.3246011169
257	0.324273338
258	0.3239521299
259	0.3236749304
260	0.3233936625
261	0.3231679045
262	0.3228727558
263	0.3223852487
264	0.3219959687
265	0.3217073652
266	0.3212896574
267	0.3208048972
268	0.3204860291
269	0.3203620712
270	0.3200221259
271	0.3196921568
272	0.3193157066
273	0.3190251381
274	0.318757827
275	0.3183628948
276	0.3180981842
277	0.3176853155
278	0.3175430228
279	0.3171746809
280	0.3168781455
281	0.3167550012
282	0.3163767972
283	0.3162126446
284	0.3159840826
285	0.3158940183
286	0.3157059211
287	0.3154366924
288	0.3151675714
289	0.3149639831
290	0.3144665055
291	0.314162718
292	0.3137951275
293	0.313569996
294	0.313019095
295	0.3126569794
296	0.3125377735
297	0.3119881386
298	0.3117185441
299	0.3116460244
300	0.3113542539
301	0.3112079082
302	0.3107893332
303	0.3101480769
304	0.3096820446
305	0.3092162169
306	0.3089645195
307	0.3087925728
308	0.3085048214
309	0.308124528
310	0.3079564937
311	0.3076440089
312	0.3072948235
313	0.3069537412
314	0.3065402684
315	0.3062955573
316	0.305992569
317	0.3057796097
318	0.3053989298
319	0.3050378984
320	0.3047535252
321	0.3044043062
322	0.3040100182
323	0.3037504134
324	0.3035340199
325	0.3032739188
326	0.3026572805
327	0.3023034401
328	0.3018413031
329	0.3016505038
330	0.3013122851
331	0.3011381192
332	0.3008952045
333	0.3004921527
334	0.300321656
335	0.2997159345
336	0.29955832
337	0.2992723572
338	0.2989151418
339	0.2985835519
340	0.2984054702
341	0.2982322729
342	0.2978775839
343	0.2975307604
344	0.2972655377
345	0.2969697077
346	0.2967492998
347	0.2965274281
348	0.2960046711
349	0.2954806018
350	0.2953098148
351	0.2951375613
352	0.2944559338
353	0.2941134697
354	0.2935742537
355	0.2931523722
356	0.2926481974
357	0.2923634662
358	0.2919864546
359	0.2917183539
360	0.2915649305
361	0.2914478304
362	0.291106575
363	0.2908884693
364	0.2906046221
365	0.2903140962
366	0.2900041447
367	0.2897167179
368	0.2893783463
369	0.2892255606
370	0.2889509315
371	0.2886823848
372	0.2883697709
373	0.2878031015
374	0.2876356963
375	0.2873470771
376	0.286705241
377	0.2864491497
378	0.2861528425
379	0.285816201
380	0.2855838078
381	0.285117713
382	0.2847507929
383	0.2845523317
384	0.2841501472
385	0.2838606719
386	0.2836529157
387	0.2834005985
388	0.2830852985
389	0.2828295303
390	0.2824052623
391	0.2821149858
392	0.2818861154
393	0.2815115257
394	0.2812608691
395	0.2810395947
396	0.2807634285
397	0.2803022511
398	0.2799910448
399	0.2797114759
400	0.2795279642
401	0.2790407489
402	0.2787079573
403	0.2783243223
404	0.2780636099
405	0.2778025651
406	0.2773562293
407	0.2770433449
408	0.2768029974
409	0.2765402052
410	0.2761896942
411	0.2757993786
412	0.2755530943
413	0.2752599302
414	0.2750354946
415	0.2749704806
416	0.2747141011
417	0.274609114
418	0.2742527957
419	0.2741415866
420	0.2738583944
421	0.2735550438
422	0.2732217554
423	0.2730691834
424	0.2725955749
425	0.2721663942
426	0.2719961561
427	0.2714384
428	0.2713724182
